iter	Passed	Remaining
447	1144	1410
448	1147	1407
449	1149	1404
450	1152	1402
451	1154	1399
452	1157	1397
453	1159	1394
454	1162	1392
455	1164	1389
456	1167	1387
457	1170	1384
458	1172	1382
459	1175	1379
460	1177	1377
461	1180	1374
462	1183	1372
463	1185	1369
464	1188	1366
465	1190	1364
466	1193	1362
467	1195	1359
468	1198	1357
469	1201	1354
470	1203	1352
471	1206	1349
472	1209	1347
473	1211	1344
474	1214	1341
475	1216	1339
476	1219	1336
477	1221	1334
478	1224	1331
479	1227	1329
480	1229	1326
481	1232	1324
482	1234	1321
483	1237	1319
484	1239	1316
485	1242	1314
486	1245	1311
487	1247	1309
488	1250	1306
489	1253	1304
490	1255	1301
491	1257	1298
492	1260	1296
493	1262	1293
494	1265	1290
495	1267	1288
496	1270	1285
497	1272	1282
498	1275	1280
499	1277	1277
500	1280	1275
501	1282	1272
502	1284	1269
503	1287	1266
504	1289	1264
505	1292	1261
506	1294	1259
507	1297	1256
508	1299	1253
509	1302	1251
510	1304	1248
511	1307	1245
512	1309	1243
513	1312	1240
514	1314	1238
515	1317	1235
516	1319	1232
517	1322	1230
518	1324	1227
519	1327	1225
520	1330	1222
521	1332	1220
522	1334	1217
523	1337	1214
524	1339	1212
525	1342	1209
526	1344	1206
527	1347	1204
528	1349	1201
529	1352	1199
530	1354	1196
531	1357	1194
532	1360	1191
533	1362	1189
534	1365	1186
535	1367	1184
536	1370	1181
537	1372	1178
538	1375	1176
539	1377	1173
540	1380	1171
541	1382	1168
542	1385	1165
543	1387	1163
544	1390	1160
545	1392	1157
546	1394	1155
547	1397	1152
548	1399	1149
549	1402	1147
550	1405	1144
551	1407	1142
552	1409	1139
553	1412	1137
554	1414	1134
555	1417	1131
556	1419	1129
557	1422	1126
558	1424	1124
559	1427	1121
560	1429	1119
561	1432	1116
562	1434	1113
563	1437	1111
564	1440	1108
565	1442	1106
566	1445	1103
567	1447	1101
568	1450	1098
569	1452	1095
570	1455	1093
571	1457	1090
572	1460	1088
573	1462	1085
574	1465	1082
575	1467	1080
576	1470	1077
577	1472	1075
578	1475	1072
579	1477	1070
580	1480	1067
581	1482	1064
582	1485	1062
583	1488	1059
584	1490	1057
585	1493	1054
586	1495	1052
587	1498	1049
588	1500	1047
589	1503	1044
590	1505	1042
591	1508	1039
592	1510	1037
593	1513	1034
594	1516	1031
595	1518	1029
596	1521	1026
597	1523	1024
598	1526	1021
599	1528	1019
600	1531	1016
601	1534	1014
602	1536	1011
603	1539	1009
604	1541	1006
605	1544	1004
606	1546	1001
607	1549	999
608	1552	996
609	1554	994
610	1557	991
611	1559	988
612	1562	986
