iter	Logloss
0	0.6426816107
1	0.5989776738
2	0.5610677719
3	0.5261153947
4	0.4986800187
5	0.4697235071
6	0.4466774659
7	0.4244677961
8	0.403900851
9	0.3899180428
10	0.3753771346
11	0.3611032875
12	0.3463431537
13	0.3343612253
14	0.3240749501
15	0.315604376
16	0.3074195592
17	0.3003830911
18	0.2940722577
19	0.2886533983
20	0.2817529974
21	0.2768077971
22	0.2724808611
23	0.2674982872
24	0.263131511
25	0.2587129136
26	0.2554459883
27	0.2525379706
28	0.2495209288
29	0.2463915879
30	0.243989389
31	0.2415995867
32	0.2391965355
33	0.2368314317
34	0.2347231024
35	0.2324845572
36	0.2304821812
37	0.2288359067
38	0.2271783764
39	0.2259357339
40	0.2241616797
41	0.2230133057
42	0.221381849
43	0.2201704323
44	0.2191275302
45	0.2176241572
46	0.2166290725
47	0.2157085506
48	0.2147755848
49	0.2136912157
50	0.2125319892
51	0.2116604038
52	0.2107661167
53	0.2098476176
54	0.2090796402
55	0.2083123599
56	0.2072226584
57	0.206574496
58	0.2058299362
59	0.2046845197
60	0.2039944055
61	0.2032602295
62	0.2025016458
63	0.2014568684
64	0.2007615599
65	0.200104885
66	0.1994944676
67	0.1988261116
68	0.1979265637
69	0.1971927015
70	0.196634195
71	0.1958704757
72	0.1953515125
73	0.1947321767
74	0.1939602694
75	0.1934176229
76	0.1929413518
77	0.1923619241
78	0.1917849724
79	0.1913656069
80	0.1906966765
81	0.1900091582
82	0.1894545319
83	0.1890150618
84	0.188484933
85	0.1879321107
86	0.1874506563
87	0.1870131547
88	0.1865994702
89	0.1861198888
90	0.1856767297
91	0.1852728817
92	0.1848848242
93	0.1844237873
94	0.1840606194
95	0.1836444891
96	0.1832287427
97	0.1828345352
98	0.1824213635
99	0.1819509379
100	0.1816237597
101	0.181198099
102	0.1807917027
103	0.1804050051
104	0.1800116196
105	0.1796581532
106	0.1793419565
107	0.1788351738
108	0.1784612708
109	0.1781327649
110	0.1777361837
111	0.1772676338
112	0.1768997572
113	0.1765956809
114	0.1761686991
115	0.1758703009
116	0.1754953644
117	0.175209158
118	0.1748269985
119	0.1744939422
120	0.1741623353
121	0.1737732726
122	0.1733669267
123	0.1729624888
124	0.1726432391
125	0.1723057931
126	0.1718802331
127	0.171538766
128	0.171010017
129	0.1707662649
130	0.1704683445
131	0.1701672159
132	0.1698715534
133	0.1695486148
134	0.1692990145
135	0.1688928271
136	0.1686237495
137	0.1683399391
138	0.1680491335
139	0.1678069911
140	0.1675641831
141	0.1672663195
142	0.1670290314
143	0.16678079
144	0.1665257223
145	0.1662480411
146	0.1659767112
147	0.1657614433
148	0.1654800546
149	0.1651458328
150	0.1648729039
151	0.1645603245
152	0.1643052853
153	0.164049115
154	0.1638537838
155	0.1635857313
156	0.1633222097
157	0.1630759568
158	0.1628538323
159	0.1625946879
160	0.1623560665
161	0.1620715663
162	0.1617371588
163	0.1614430588
164	0.161139264
165	0.1609181531
166	0.1607000071
167	0.1605104992
168	0.1603011006
169	0.1600708777
170	0.159871245
171	0.1596582693
172	0.1594149554
173	0.1592392348
174	0.1589830751
175	0.1586934174
176	0.1585092653
177	0.1583232638
178	0.1580349362
179	0.157835513
180	0.1575511198
181	0.1572914795
182	0.1569852225
183	0.1567333106
184	0.1564187467
185	0.1562046497
186	0.155938095
187	0.155692836
188	0.1554722957
189	0.1552945848
190	0.1550986911
191	0.1549146132
192	0.1547193919
193	0.1544976549
194	0.154319488
195	0.1541155326
196	0.1539601769
197	0.1537162015
198	0.1535012898
199	0.1533268179
200	0.15314345
201	0.1529510331
202	0.1527594056
203	0.152519644
204	0.1522838785
205	0.1521455882
206	0.1519424591
207	0.1517541788
208	0.1515507483
209	0.1513787689
210	0.1511801986
211	0.1509922289
212	0.1508321244
213	0.1506956434
214	0.1505134578
215	0.1502919539
216	0.1501303895
217	0.1499953058
218	0.1498333059
219	0.1497367407
220	0.1495707378
221	0.149300251
222	0.1491711964
223	0.1490250228
224	0.1488148547
225	0.1486016516
226	0.1484493291
227	0.1483217991
228	0.1480528855
229	0.147824011
230	0.1476579854
231	0.1474670447
232	0.147295828
233	0.1471113456
234	0.1469462847
235	0.1466899915
236	0.1465613709
237	0.1463878431
238	0.1462326277
239	0.1460403835
240	0.1458659606
241	0.1457279057
242	0.1455738845
243	0.1454026711
244	0.1452769416
245	0.1450779086
246	0.1449663677
247	0.1447456782
248	0.1445797714
249	0.1444307407
250	0.1442218153
251	0.1440336196
252	0.1439103746
253	0.1437288965
254	0.1436318732
255	0.1434132775
256	0.1432456544
257	0.1431303477
258	0.1429733674
259	0.1428177954
260	0.1426868735
261	0.1425596173
262	0.1424373867
263	0.1423125467
264	0.1421683217
265	0.1420361435
266	0.1418114074
267	0.1416453808
268	0.1415038369
269	0.1413594806
270	0.1412195534
271	0.1410229024
272	0.1408724049
273	0.1407006899
274	0.1405812052
275	0.1403467098
276	0.1402103548
277	0.1400833257
278	0.1399660771
279	0.1398113606
280	0.1396327386
281	0.1395363969
282	0.1393877842
283	0.1392417819
284	0.139117578
285	0.1389918102
286	0.1388483181
287	0.1387332969
288	0.1385599912
289	0.1384382141
290	0.138354286
291	0.1381575668
292	0.1380235144
293	0.1379091638
294	0.1376647458
295	0.1375170112
296	0.1374298728
297	0.1373115914
298	0.1371866455
299	0.1370315239
300	0.1368902625
301	0.136773845
302	0.1366646385
303	0.136523773
304	0.1363926262
305	0.1362595038
306	0.1361145948
307	0.1360019485
308	0.1358616809
309	0.1357310677
310	0.1355668486
311	0.1354439722
312	0.1352924506
313	0.1351896342
314	0.1350943359
315	0.134930483
316	0.1347858666
317	0.1346509402
318	0.1345490341
319	0.1344482774
320	0.1343739183
321	0.1342361639
322	0.1341323896
323	0.1339724718
324	0.1338559152
325	0.133758092
326	0.1336327965
327	0.1335339436
328	0.1334212572
329	0.1333082681
330	0.133199398
331	0.1330172251
332	0.1329135189
333	0.1327826069
334	0.1326370983
335	0.1324924537
336	0.1323936893
337	0.1323167989
338	0.1321829401
339	0.1321020458
340	0.1320104185
341	0.1318930195
342	0.1317945475
343	0.1316701114
344	0.1315443795
345	0.131401142
346	0.1312975565
347	0.1311916957
348	0.13108352
349	0.1309753057
350	0.1308838673
351	0.1307770092
352	0.1306856142
353	0.130531796
354	0.1304056807
355	0.130290887
356	0.1301787676
357	0.1300872798
358	0.129990254
359	0.1298533428
360	0.1297514927
361	0.1296413177
362	0.1295367263
363	0.1294704352
364	0.129365133
365	0.1292584522
366	0.129154584
367	0.1290595979
368	0.1289382359
369	0.1288310274
370	0.1287461509
371	0.1286024629
372	0.128507926
373	0.1283952169
374	0.1283315042
375	0.1282455327
376	0.128106204
377	0.1279692255
378	0.1278756249
379	0.127794143
380	0.1276796114
381	0.1275917268
382	0.1275156694
383	0.1274069213
384	0.1273026066
385	0.1272297295
386	0.1271397187
387	0.127040754
388	0.1269431457
389	0.1268401878
390	0.126741252
391	0.1266809309
392	0.1265631657
393	0.1264520925
394	0.1263791834
395	0.1262877632
396	0.1262165363
397	0.1260724272
398	0.1259945876
399	0.125874445
400	0.1257784673
401	0.1257065984
402	0.1255884885
403	0.1255276694
404	0.1254345008
405	0.1252418066
406	0.1251580656
407	0.1250796561
408	0.1249751054
409	0.124875819
410	0.1247747289
411	0.1246739049
412	0.1245448815
413	0.1244573038
414	0.1243549883
415	0.1242476056
416	0.1241599709
417	0.1241070095
418	0.1240135235
419	0.1238947526
420	0.1238188207
421	0.1237020119
422	0.1236490157
423	0.1235715017
424	0.1234364116
425	0.1233603885
426	0.12323526
427	0.1231245098
428	0.1230284896
429	0.1229373721
430	0.1228525889
431	0.1227599866
432	0.1226903272
433	0.1226415051
434	0.1225666701
435	0.1224730188
436	0.1223855637
437	0.1222883271
438	0.1221784806
439	0.1220828038
440	0.1220014331
441	0.1219336573
442	0.1218485371
443	0.1217369561
444	0.1216779554
445	0.1215962783
446	0.1215220179
447	0.1214636319
448	0.1213911916
449	0.121308938
450	0.1212347059
451	0.1211373591
452	0.1210292319
453	0.1209511751
454	0.1208772577
455	0.1207739494
456	0.1207045008
457	0.1206288649
458	0.1205511555
459	0.1204553058
460	0.1204066116
461	0.1203314496
462	0.1202400624
463	0.1201757873
464	0.1200635663
465	0.1200048402
466	0.1199383674
467	0.1198646632
468	0.1197810531
469	0.1196731774
470	0.1195761741
471	0.119476238
472	0.1193902623
473	0.1193156219
474	0.1192643948
475	0.1192151905
476	0.1191305433
477	0.1190395265
478	0.1189472372
479	0.1187143449
480	0.1186431245
481	0.1185652644
482	0.118498378
483	0.118434964
484	0.1183720829
485	0.1182463417
486	0.1181717614
487	0.1180931444
488	0.1180134379
489	0.1179312446
490	0.1178686782
491	0.1177961167
492	0.1176995841
493	0.1176463948
494	0.117589971
495	0.1174787822
496	0.1174409956
497	0.1173818717
498	0.1173038176
499	0.1172102477
500	0.1171049203
501	0.1170477338
502	0.1169796316
503	0.1169330653
504	0.1168668539
505	0.1167807993
506	0.1167273092
507	0.1166622848
508	0.1165680757
509	0.1165110679
510	0.1164099188
511	0.1163337837
512	0.1162576391
513	0.1161798628
514	0.1161127615
515	0.1160564774
516	0.1159930148
517	0.115919337
518	0.115840903
519	0.115799148
520	0.1157314015
521	0.115660172
522	0.1156089658
523	0.1155380018
524	0.1154431442
525	0.1153844702
526	0.1153164918
527	0.1152526303
528	0.1151714134
529	0.1151208266
530	0.1150697079
531	0.1149988614
532	0.1149609756
533	0.114886127
534	0.1148250246
535	0.1147515627
536	0.1146792095
537	0.1146273186
538	0.1145560814
539	0.1144949131
540	0.114436522
541	0.114390198
542	0.1142948915
543	0.1142291343
544	0.1141902135
545	0.1141168
546	0.1140406099
547	0.1139768758
548	0.1139266046
549	0.1138337964
550	0.1137585668
551	0.1137153412
552	0.1136775126
553	0.1136348297
554	0.1135822194
555	0.1135296902
556	0.1134284913
557	0.1133588496
558	0.1133033968
559	0.1132124787
560	0.1131584081
561	0.1131129675
562	0.1130733473
563	0.1130297543
564	0.1129559798
565	0.1128834641
566	0.1128499147
567	0.1128078287
568	0.1127464865
569	0.1126689031
570	0.1125915087
571	0.1125245568
572	0.1124168821
573	0.1123617754
574	0.1122753275
575	0.1122043553
576	0.11214126
577	0.1120604845
578	0.1120176181
579	0.1119742533
580	0.1119233457
581	0.1118557766
582	0.1118002223
583	0.1117137214
584	0.1116572562
585	0.1115945828
586	0.1114921149
587	0.1114086872
588	0.1113503238
589	0.1112781142
590	0.1112016138
591	0.1111264998
592	0.1110737518
593	0.111021979
594	0.1109633299
595	0.1109130873
596	0.1108740838
597	0.1108293522
598	0.1107727209
599	0.1107120094
600	0.1106544496
601	0.1105907924
602	0.1105487645
603	0.1104578227
604	0.1104134328
605	0.1103714649
606	0.1103076024
607	0.1102756255
608	0.11020629
609	0.1101180592
610	0.1100722449
611	0.1100334444
612	0.1099542255
613	0.1099057726
614	0.1098554775
615	0.109791903
616	0.1097568152
617	0.1097031421
618	0.1096222315
619	0.1095654648
620	0.1095122296
621	0.1094587087
622	0.1093756684
623	0.1092857215
624	0.1092075729
625	0.1091275908
626	0.1090682465
627	0.1090014748
628	0.1089512892
629	0.1089181958
630	0.1088784853
631	0.1088095428
632	0.1087820307
633	0.1087462459
634	0.1087052839
635	0.108652864
636	0.1085904707
637	0.1085555697
638	0.1085224661
639	0.1084409932
640	0.1083816947
641	0.1083520068
642	0.1083123305
643	0.1082540426
644	0.1082262661
645	0.1081942319
646	0.1081252556
647	0.1080728201
648	0.1080424456
649	0.1079508602
650	0.1078962907
651	0.107830013
652	0.1077897755
653	0.1077405638
654	0.107690411
655	0.1076338795
656	0.1075419011
657	0.1074856218
658	0.1074492535
659	0.1074012313
660	0.1073671418
661	0.1073338157
662	0.1072642759
663	0.1072013448
664	0.1071392345
665	0.1070485478
666	0.1070000714
667	0.1069287657
668	0.1068763821
669	0.1068151623
670	0.1067641275
671	0.1067197614
672	0.1066550071
673	0.1066187536
674	0.1065709882
675	0.1065175502
676	0.1064337614
677	0.1063736546
678	0.1063098808
679	0.1062819721
680	0.1062159911
681	0.1061538443
682	0.1061020797
683	0.1060576562
684	0.1059997469
685	0.1059587505
686	0.1059274462
687	0.1058769641
688	0.1058101757
689	0.1057772586
690	0.105737779
691	0.1056696487
692	0.1056099055
693	0.1055663475
694	0.1055153266
695	0.1054839683
696	0.1054435851
697	0.105381372
698	0.1053351027
699	0.1052921587
700	0.1052491084
701	0.1052012025
702	0.1051067499
703	0.1050660514
704	0.1050089887
705	0.1049601304
706	0.1049085372
707	0.1048552627
708	0.104785101
709	0.1047428644
710	0.1046882928
711	0.1046378538
712	0.10457336
713	0.1045295523
714	0.1044613079
715	0.104418557
716	0.1043796778
717	0.104327668
718	0.104276708
719	0.1042456876
720	0.1041789842
721	0.1041499924
722	0.1040690893
723	0.1040156381
724	0.1039885335
725	0.1039064599
726	0.103850601
727	0.103801648
728	0.1037465466
729	0.1036784462
730	0.1036193749
731	0.1035758538
732	0.1035393792
733	0.1034727002
734	0.1034389422
735	0.1034017
736	0.1033453587
737	0.1033006492
738	0.1032411269
739	0.1032099366
740	0.1031685213
741	0.1031365209
742	0.1030804576
743	0.1030242747
744	0.1029692986
745	0.1029488786
746	0.1028800775
747	0.1028232524
748	0.1027591259
749	0.1027119521
750	0.1026573205
751	0.1026047454
752	0.1025644111
753	0.102530689
754	0.1024911478
755	0.102437716
756	0.1023981912
757	0.102336595
758	0.1022635384
759	0.1022239623
760	0.1021626158
761	0.1021258242
762	0.1020789482
763	0.1020108757
764	0.1019698989
765	0.1019100103
766	0.1018740537
767	0.1018219582
768	0.1017443024
769	0.1016884214
770	0.1016214544
771	0.1015647115
772	0.1015111741
773	0.101478862
774	0.1014614258
775	0.1014140107
776	0.101354833
777	0.1013107998
778	0.1011976849
779	0.1011503555
780	0.1011178593
781	0.1010562092
782	0.1010060115
783	0.100978669
784	0.1009278547
785	0.10089958
786	0.1008590478
787	0.1008027021
788	0.1007826702
789	0.1007288175
790	0.1006718593
791	0.1006292497
792	0.1005773134
793	0.100521504
794	0.1004662755
795	0.1004118071
796	0.1003616784
797	0.1002968381
798	0.1002562543
799	0.1002227684
800	0.1002009306
801	0.1001316387
802	0.100072685
803	0.1000385892
804	0.1000112502
805	0.09994913365
806	0.09992281842
807	0.09987455782
808	0.09984569162
809	0.09977870805
810	0.09973085378
811	0.09969976475
812	0.09965673057
813	0.09959835879
814	0.09956853962
815	0.09953288715
816	0.09948856892
817	0.09943865811
818	0.09939219131
819	0.09934218677
820	0.09930084904
821	0.09925156618
822	0.09921880906
823	0.09916578166
824	0.09910939932
825	0.09904778234
826	0.09899758367
827	0.09893320442
828	0.09889255345
829	0.09885042142
830	0.09881508033
831	0.09878899156
832	0.09875667741
833	0.09871046531
834	0.09868423912
835	0.09866606274
836	0.09863240487
837	0.09858956844
838	0.09855937747
